index,seed,mae,mae2,mse,rmse,Test Accuracy,AR,Precision,Recall,F1_score
GLENMARK,3,8.141828058900789,0.014146668954198872,112.39331229156865,10.601571218058607,54.585,-16.01,0.5384615384615384,0.8305084745762712,0.6533333333333333
GMRINFRA,4,0.5764405787771966,0.031194293673931988,0.5836239408960763,0.7639528394449989,53.712,-5.39,0.5,0.5377358490566038,0.5181818181818182
GODREJIND,4,10.206833911879096,0.017310519151689744,174.09433824439634,13.194481355642454,51.528,-15.86,0.5267857142857143,0.5042735042735043,0.5152838427947598
GRASIM,4,19.796390610074365,0.017925674286554383,654.7818834423919,25.588706169761533,52.402,-1.72,0.44144144144144143,0.5104166666666666,0.4734299516908212
HAVELLS,7,6.932620865601118,0.012629085851496122,95.71272116950635,9.783287850692442,57.642,18.8,0.6101694915254238,0.5853658536585366,0.5975103734439834
HCLTECH,3,11.957917352534796,0.012777469252075742,266.13588129811484,16.313671606910408,56.332,41.87,0.6785714285714286,0.43846153846153846,0.5327102803738317
HDFC,7,17.691134710186947,0.009668252237070019,526.3292035277517,22.94186573772394,53.712,-9.42,0.5564516129032258,0.575,0.5655737704918032
HDFCBANK,9,14.236422476289562,0.007296707339734933,371.50302663556585,19.27441378189142,50.655,5.23,0.525,0.6942148760330579,0.5978647686832741
HDIL,3,1.4941127686703943,0.024748132195283896,5.1024614274641396,2.258862861588578,47.393,-27.21,0.44785276073619634,0.776595744680851,0.5680933852140079
HEROMOTOCO,3,32.2990014755049,0.00899880099212956,1981.7997103256428,44.517409070223785,55.459,-10.49,0.5043478260869565,0.5631067961165048,0.5321100917431193
HEXAWARE,10,7.092730419708652,0.018375365034316242,121.82271028397061,11.037332571050426,49.782,6.27,0.5955056179775281,0.4015151515151515,0.4796380090497737
HINDALCO,5,3.8260712069715477,0.01587889272406878,25.295021333188945,5.029415605534001,56.332,-7.61,0.5405405405405406,0.5504587155963303,0.5454545454545454
HINDPETRO,6,5.963706470472845,0.016679496053756387,62.3558993222197,7.896575164096122,53.275,14.04,0.4825174825174825,0.6764705882352942,0.563265306122449
HINDUNILVR,5,12.60815440348662,0.008713408982576413,282.26202304588384,16.800655435008593,56.769,13.29,0.6285714285714286,0.6518518518518519,0.64
HINDZINC,1,3.719929311160959,0.012335456600790199,24.93607113886659,4.99360302175359,50.655,2.13,0.5,0.584070796460177,0.5387755102040817
IBREALEST,8,6.239696195113095,0.033899672554207484,95.42738668436668,9.768694215931149,48.691,190.88,0.5344827586206896,0.5849056603773585,0.5585585585585585
IBULHSGFIN,3,17.61046927787162,0.014133817555714261,516.489021799139,22.726394826261796,50.27,19.67,0.475,0.6627906976744186,0.5533980582524272
ICICIBANK,3,4.514947109972026,0.014924421627353772,42.589174051059004,6.526038158872426,52.402,34.36,0.49,0.45794392523364486,0.4734299516908213
IDBI,2,1.6634735507215477,0.02640178003903651,5.587027528217413,2.3636893891155437,48.472,-3.99,0.4779874213836478,0.6846846846846847,0.562962962962963
IDEA,4,2.172566196491625,0.02830721247843363,9.203670364945213,3.033755159030671,51.528,34.92,0.4583333333333333,0.6666666666666666,0.5432098765432098
IDFC,9,0.9421586415653147,0.017255583772355396,1.638003016212624,1.2798449188134569,57.205,2.13,0.5042735042735043,0.5959595959595959,0.5462962962962962
IFCI,8,0.48543032350498516,0.02260133661674748,0.5380858410644698,0.7335433464114236,46.725,-3.11,0.43859649122807015,0.7425742574257426,0.551470588235294
IGL,10,4.57963126236695,0.015514447816105684,33.836794787563136,5.816940328691978,51.965,5.62,0.5057471264367817,0.7857142857142857,0.6153846153846153
INDIACEM,3,3.311365119234443,0.02208576553009259,22.908079498458697,4.78623855427816,54.585,7.39,0.5175438596491229,0.5462962962962963,0.5315315315315315
INDUSINDBK,5,16.56953167644651,0.009247150960238515,446.84444810163546,21.138695515609175,51.092,13.13,0.5089820359281437,0.7391304347826086,0.602836879432624
INFY,4,16.48891910736217,0.014345964095927194,453.14723615467943,21.287255251785737,51.092,26.58,0.6,0.45454545454545453,0.5172413793103449
IOC,8,2.2930568378565095,0.012653055214054252,10.066623779340171,3.172794317213168,47.598,0.58,0.47368421052631576,0.6428571428571429,0.5454545454545454
IRB,6,4.791816638130288,0.02115937046207699,121.63963251885748,11.029035883469483,52.838,-16.75,0.5153846153846153,0.5982142857142857,0.5537190082644629
ITC,4,3.3370996866684277,0.01226382662120376,19.680200935033174,4.436237249633204,54.148,13.18,0.5076923076923077,0.616822429906542,0.5569620253164557
JINDALSTEL,3,5.730561981867494,0.026434504764936646,55.09086114232716,7.42232181613861,50.655,102.22,0.5555555555555556,0.4065040650406504,0.4694835680751174
JISLJALEQS,10,2.315516429384724,0.021819101619360418,9.78100581452643,3.127459962098065,58.952,-9.09,0.6,0.5263157894736842,0.5607476635514018
JPASSOCIAT,4,0.9721028023932178,0.05453558758633665,1.8383301946849004,1.3558503585148696,50.655,21.96,0.47863247863247865,0.5185185185185185,0.49777777777777776
